experiment_id,case,experiment_family,scenario,latency_seconds,latency_std_seconds,jitter_multiplier,budget_seconds,top_tier_latency_seconds,middle_tier_latency_seconds,bottom_tier_latency_seconds,delayed_links,simulation_config_file,run_config_file,num_runs,seed_start,seed_end,max_parallel,description
0,1,Global latency sweep,All links,0,0,,,,,,All communication links,5_swarms_100_ucav_0.pbtxt,batch_5_swarms_100_ucav_0.pbtxt,50,100,149,17,Global one-way latency of 0 seconds on every link.
1,1,Global latency sweep,All links,0.0001,0,,,,,,All communication links,5_swarms_100_ucav_1.pbtxt,batch_5_swarms_100_ucav_1.pbtxt,50,100,149,17,Global one-way latency of 0.0001 seconds on every link.
2,1,Global latency sweep,All links,0.0002,0,,,,,,All communication links,5_swarms_100_ucav_2.pbtxt,batch_5_swarms_100_ucav_2.pbtxt,50,100,149,17,Global one-way latency of 0.0002 seconds on every link.
3,1,Global latency sweep,All links,0.0003,0,,,,,,All communication links,5_swarms_100_ucav_3.pbtxt,batch_5_swarms_100_ucav_3.pbtxt,50,100,149,17,Global one-way latency of 0.0003 seconds on every link.
4,1,Global latency sweep,All links,0.0004,0,,,,,,All communication links,5_swarms_100_ucav_4.pbtxt,batch_5_swarms_100_ucav_4.pbtxt,50,100,149,17,Global one-way latency of 0.0004 seconds on every link.
5,1,Global latency sweep,All links,0.0005,0,,,,,,All communication links,5_swarms_100_ucav_5.pbtxt,batch_5_swarms_100_ucav_5.pbtxt,50,100,149,17,Global one-way latency of 0.0005 seconds on every link.
6,1,Global latency sweep,All links,0.0006,0,,,,,,All communication links,5_swarms_100_ucav_6.pbtxt,batch_5_swarms_100_ucav_6.pbtxt,50,100,149,17,Global one-way latency of 0.0006 seconds on every link.
7,1,Global latency sweep,All links,0.0007,0,,,,,,All communication links,5_swarms_100_ucav_7.pbtxt,batch_5_swarms_100_ucav_7.pbtxt,50,100,149,17,Global one-way latency of 0.0007 seconds on every link.
8,1,Global latency sweep,All links,0.0008,0,,,,,,All communication links,5_swarms_100_ucav_8.pbtxt,batch_5_swarms_100_ucav_8.pbtxt,50,100,149,17,Global one-way latency of 0.0008 seconds on every link.
9,1,Global latency sweep,All links,0.0009,0,,,,,,All communication links,5_swarms_100_ucav_9.pbtxt,batch_5_swarms_100_ucav_9.pbtxt,50,100,149,17,Global one-way latency of 0.0009 seconds on every link.
10,1,Global latency sweep,All links,0.001,0,,,,,,All communication links,5_swarms_100_ucav_10.pbtxt,batch_5_swarms_100_ucav_10.pbtxt,50,100,149,17,Global one-way latency of 0.001 seconds on every link.
11,1,Global latency sweep,All links,0.002,0,,,,,,All communication links,5_swarms_100_ucav_11.pbtxt,batch_5_swarms_100_ucav_11.pbtxt,50,100,149,17,Global one-way latency of 0.002 seconds on every link.
12,1,Global latency sweep,All links,0.003,0,,,,,,All communication links,5_swarms_100_ucav_12.pbtxt,batch_5_swarms_100_ucav_12.pbtxt,50,100,149,17,Global one-way latency of 0.003 seconds on every link.
13,1,Global latency sweep,All links,0.004,0,,,,,,All communication links,5_swarms_100_ucav_13.pbtxt,batch_5_swarms_100_ucav_13.pbtxt,50,100,149,17,Global one-way latency of 0.004 seconds on every link.
14,1,Global latency sweep,All links,0.005,0,,,,,,All communication links,5_swarms_100_ucav_14.pbtxt,batch_5_swarms_100_ucav_14.pbtxt,50,100,149,17,Global one-way latency of 0.005 seconds on every link.
15,1,Global latency sweep,All links,0.006,0,,,,,,All communication links,5_swarms_100_ucav_15.pbtxt,batch_5_swarms_100_ucav_15.pbtxt,50,100,149,17,Global one-way latency of 0.006 seconds on every link.
16,1,Global latency sweep,All links,0.007,0,,,,,,All communication links,5_swarms_100_ucav_16.pbtxt,batch_5_swarms_100_ucav_16.pbtxt,50,100,149,17,Global one-way latency of 0.007 seconds on every link.
17,1,Global latency sweep,All links,0.008,0,,,,,,All communication links,5_swarms_100_ucav_17.pbtxt,batch_5_swarms_100_ucav_17.pbtxt,50,100,149,17,Global one-way latency of 0.008 seconds on every link.
18,1,Global latency sweep,All links,0.009,0,,,,,,All communication links,5_swarms_100_ucav_18.pbtxt,batch_5_swarms_100_ucav_18.pbtxt,50,100,149,17,Global one-way latency of 0.009 seconds on every link.
19,1,Global latency sweep,All links,0.01,0,,,,,,All communication links,5_swarms_100_ucav_19.pbtxt,batch_5_swarms_100_ucav_19.pbtxt,50,100,149,17,Global one-way latency of 0.01 seconds on every link.
20,1,Global latency sweep,All links,0.02,0,,,,,,All communication links,5_swarms_100_ucav_20.pbtxt,batch_5_swarms_100_ucav_20.pbtxt,50,100,149,17,Global one-way latency of 0.02 seconds on every link.
